id,operator,group,ref_class,map_class,ref_code,map_code
332,Cherubins,4,Fp,Fp,11,11
66,karel88,1,Fp,Fp,11,11
42,karel88,1,Fp,Fp,11,11
113,josney,2,Fp,Fp,11,11
467,lillteddy,5,Fp,Fp,11,11
236,Precieux,3,Fp,Fp,11,11
240,Precieux,3,Fp,Eau,11,4
664,gisele,7,Fp,Fp,11,11
218,Precieux,3,Fp,Fm,11,13
380,Cherubins,4,Fp,Fp,11,11
747,leslie,8,Fp,Fp,11,11
404,Cherubins,4,Fp,Fp,11,11
708,leslie,8,Fp,Fp,11,11
369,Cherubins,4,Fp,Fp,11,11
783,leslie,8,Fp,Fp,11,11
83,karel88,1,Fp,Fp,11,11
443,lillteddy,5,Fp,NF,11,2
347,Cherubins,4,Fp,Fp,11,11
196,josney,2,Fp,Fp,11,11
46,karel88,1,Fp,Fp,11,11
566,carine,6,Fp,Fp,11,11
453,lillteddy,5,Fp,Fp,11,11
154,josney,2,Fp,Fs,11,12
693,Cherubins,7,Fp,Fs,11,12
141,josney,2,Fp,Fs,11,12
642,gisele,7,Fp,Fp,11,11
278,karel88,3,Fp,Fs,11,12
438,lillteddy,5,Fp,Fp,11,11
145,josney,2,Fp,Fs,11,12
700,Cherubins,7,Fp,Fp,11,11
280,karel88,3,Fp,Fs,11,12
279,karel88,3,Fp,Fp,11,11
10,karel88,1,Fp,Fp,11,11
558,carine,6,Fp,Fm,11,13
86,karel88,1,Fp,Fp,11,11
188,josney,2,Fp,Fp,11,11
499,lillteddy,5,Fp,Fp,11,11
692,Cherubins,7,Fp,Fp,11,11
584,carine,6,Fp,Fp,11,11
393,Cherubins,4,Fp,Fm,11,13
230,Precieux,3,Fp,Fp,11,11
67,karel88,1,Fp,Fp,11,11
112,josney,2,Fp,Fp,11,11
232,Precieux,3,Fp,Fp,11,11
633,gisele,7,Fp,Fp,11,11
531,carine,6,Fp,Fp,11,11
617,gisele,7,Fp,Fs,11,12
388,Cherubins,4,Fp,Fm,11,13
350,Cherubins,4,Fp,Fs,11,12
376,Cherubins,4,Fp,Fs,11,12
277,karel88,3,Fp,Fp,11,11
382,Cherubins,4,Fp,Fp,11,11
855,jeannette_kenovh,9,Fp,Fp,11,11
220,Precieux,3,Fp,Fs,11,12
199,josney,2,Fp,Fp,11,11
283,karel88,3,Fp,Fm,11,13
165,josney,2,Fp,Fp,11,11
465,lillteddy,5,Fp,Fp,11,11
297,karel88,3,Fp,Fp,11,11
751,leslie,8,Fp,Fs,11,12
262,karel88,3,Fp,Fp,11,11
651,gisele,7,Fp,Fp,11,11
687,Cherubins,7,Fp,Fs,11,12
781,leslie,8,Fp,Fp,11,11
395,Cherubins,4,Fp,Fp,11,11
74,karel88,1,Fp,Fm,11,13
268,karel88,3,Fp,Fp,11,11
779,leslie,8,Fp,Fp,11,11
